ZNF311;2.3.3.0.166
ZNF317;2.3.3.0.150
ZNF320;2.3.3.0.136
ZNF329;2.3.3.0.148
ZNF331;2.3.3.0.142
ZNF337;2.3.3.0.225
ZNF34;2.3.3.0.130
ZNF354C;2.3.3.0.114
ZNF355P;2.3.3.0.108
ZNF358;2.3.3.0.77
ZNF35;2.3.3.0.100
ZNF391;2.3.3.0.82
ZNF394;2.3.3.0.40
ZNF408;2.3.3.0.93
ZNF415;2.3.3.0.133
ZNF416;2.3.3.0.127
ZNF425;2.3.3.0.218
ZNF426;2.3.4.0.64
ZNF429;2.3.3.0.214
ZNF433;2.3.3.0.224
ZNF441;2.3.3.0.221
ZNF444;2.3.3.0.24
ZNF449;2.3.3.0.41
ZNF454;2.3.3.0.125
ZNF461;2.3.3.0.143
ZNF470;2.3.3.0.208
ZNF480;2.3.3.0.134
ZNF483;2.3.3.0.101
ZNF485;2.3.3.0.113
ZNF491;2.3.4.0.62
ZNF493;2.3.3.0.229
ZNF496;2.3.3.0.3
ZNF497;2.3.3.0.168
ZNF498;2.3.3.0.42
ZNF501;2.3.3.0.87
ZNF502;2.3.3.0.175
ZNF514;2.3.3.0.46
ZNF517;2.3.3.0.96
ZNF527;2.3.3.0.144
ZNF528;2.3.3.0.189
ZNF529;2.3.3.0.145
ZNF530;2.3.3.0.153
ZNF534;2.3.3.0.207
ZNF547;2.3.3.0.97
ZNF549;2.3.3.0.180
ZNF550;2.3.3.0.71
ZNF551;2.3.3.0.167
ZNF554;2.3.3.0.63
ZNF556;2.3.3.0.80
ZNF560;2.3.3.0.177
ZNF569;2.3.3.0.215
ZNF575;2.3.3.0.37
ZNF576;2.3.3.0.30
ZNF578;2.3.3.0.135
ZNF584;2.3.3.0.67
ZNF586;2.3.3.0.115
ZNF589;2.3.3.0.12
ZNF594;2.3.3.0.232
ZNF596;2.3.3.0.106
ZNF610;2.3.3.0.89
ZNF623;2.3.3.0.161
ZNF624;2.3.3.0.227
ZNF626;2.3.3.0.137
ZNF641;2.3.3.0.25
ZNF648;2.3.3.0.94
ZNF655;2.3.3.0.31
ZNF660;2.3.3.0.91
ZNF662;2.3.3.0.62
ZNF664;2.3.3.0.84
ZNF667;2.3.3.0.179
ZNF66;2.3.3.0.65
ZNF676;2.3.3.0.183
ZNF677;2.3.3.0.99
ZNF678;2.3.3.0.185
ZNF680;2.3.3.0.140
ZNF681;2.3.3.0.200
ZNF684;2.3.3.0.68
ZNF691;2.3.3.0.39
ZNF695;2.3.3.0.156
ZNF696;2.3.3.0.78
ZNF699;2.3.3.0.203
ZNF700;2.3.3.0.212
ZNF707;2.3.3.0.51
ZNF708;2.3.3.0.181
ZNF70;2.3.3.0.121
ZNF713;2.3.3.0.14
ZNF716;2.3.3.0.141
ZNF718;2.3.3.0.111
ZNF724;2.3.3.0.201
ZNF728;2.3.3.0.238
ZNF732;2.3.3.0.194
ZNF737;2.3.3.0.154
ZNF73;2.3.3.0.73
ZNF746;2.3.3.0.26
ZNF749;2.3.3.0.217
ZNF74;2.3.3.0.132
ZNF764;2.3.3.0.239
ZNF766;2.3.3.0.98
ZNF768;2.3.3.0.95
ZNF781;2.3.3.0.10
ZNF789;2.3.3.0.61
ZNF790;2.3.3.0.158
ZNF791;2.3.3.0.209
ZNF793;2.3.3.0.16
ZNF79;2.3.3.0.122
ZNF7;2.3.3.0.190
ZNF80;2.3.3.0.45
ZNF835;2.3.3.0.176
ZNF837;2.3.3.0.59
ZNF83;2.3.3.0.188
ZNF840;2.3.3.0.213
ZNF84;2.3.3.0.216
ZNF852;2.3.3.0.237
ZNF85;2.3.3.0.198
ZNF879;2.3.3.0.157
ZNF880;2.3.3.0.173
ZNF883;2.3.3.0.163
ZNF90;2.3.3.0.184
ZNF92;2.3.3.0.199
ZNF93;2.3.3.0.206
ZSCAN10;2.3.3.0.169
ZSCAN12;2.3.3.0.120
ZSCAN16;2.3.3.0.15
ZSCAN21;2.3.3.0.47
ZSCAN22;2.3.3.0.70
ZSCAN30;2.3.3.0.43
GLI4;2.3.3.10.4
ZKSCAN1;2.3.3.10.6
ZNF193;2.3.3.10.2
ZNF232;2.3.3.10.5
ZNF24;2.3.3.10.1
ZNF323;2.3.3.10.7
ZSCAN23;2.3.3.10.3
